Animal,Symptoms,Disease
Buffalo,"Nasal bleeding, Foamy saliva, Sudden death, High fever",Anthrax
Sheep,"Weakness, Bloody diarrhoea, Diarrhoea, Loss of appetite, Sudden death, High fever, Dehydration, Depression",Salmonellosis
Goat,"Bloody diarrhoea, Dehydration, Loss of appetite, Depression, Dullness, Weight loss",Coccidiosis
Buffalo,"Hair loss, Skin lesions, Depression, Scratching, Weight loss, Dullness, Itching",Ringworm
Cow,"Anaemia, Weakness, High fever, Weight loss, Pale mucous membranes, Lethargy, Swollen lymph nodes, Depression",Theileriosis
Goat,"Swollen joints, Fever, Cracked hooves, Lameness, Hoof lesions",Foot Rot
Buffalo,"Jaw swelling, Rapid breathing, High fever, Facial swelling, Sudden death",Haemorrhagic Septicaemia
Sheep,"Fever, Lameness, Recumbency, Hoof lesions, Reduced movement, Cracked hooves, Loss of appetite",Foot Rot
Goat,"Rapid breathing, Fever, Sneezing, Difficulty breathing, Cough, Eye discharge",Bovine Rhinotracheitis
Cow,"Weakness, Pale mucous membranes, Swollen lymph nodes, Weight loss, Anaemia, Lethargy",Theileriosis
Cow,"Dehydration, Cough, Diarrhoea, High fever",Peste des Petits Ruminants
Goat,"Blisters in mouth, Excess salivation, Blisters on feet",Foot and Mouth Disease
Sheep,"Lethargy, Dehydration, Fever, Diarrhoea",Calf Scour
Sheep,"Dehydration, Reduced milk yield, Depression, Diarrhoea, Weight loss",Johne’s Disease
Cow,"Scratching, Skin lesions, Dullness, Itching, Hair loss",Ringworm
Buffalo,"Swollen lymph nodes, Skin nodules, Reduced milk yield",Lumpy Skin Disease (Lumpy Virus)
Sheep,"Anaemia, Weakness, Weight loss, Loss of appetite, Depression, Pale mucous membranes, Dehydration, Reduced milk yield",Fascioliasis
Sheep,"Excess salivation, Blisters on feet, Blisters in mouth",Foot and Mouth Disease
Buffalo,"Infertility, Stillbirth, Abortion, Fever",Brucellosis
Sheep,"Rapid breathing, High fever, Sudden death, Facial swelling, Difficulty breathing, Nasal discharge, Jaw swelling, Depression",Haemorrhagic Septicaemia
Sheep,"Lethargy, Diarrhoea, Weight loss, Dehydration, Depression",Calf Scour
Goat,"Weight loss, Weakness, Dullness, Diarrhoea, Bloody diarrhoea, Depression",Coccidiosis
Buffalo,"Weakness, Yellow urine, Lethargy, Pale mucous membranes, High fever, Dark urine, Depression, Anaemia",Babesiosis
Cow,"Scratching, Skin lesions, Weight loss, Depression, Hair loss, Dullness, Itching, Loss of appetite",Ringworm
Sheep,"Swollen joints, Depression, Reduced fertility, Weakness, Fever, Infertility, Stillbirth, Abortion",Brucellosis
Goat,"Reduced movement, Sudden fever, Swollen joints",Bovine Ephemeral Fever
Buffalo,"Weight loss, Reduced milk yield, Pale mucous membranes, Anaemia",Fascioliasis
Goat,"Sudden death, Bloat, Abdominal pain, Depression, Bloody diarrhoea",Enterotoxaemia
Buffalo,"Weight loss, Bloody diarrhoea, Dullness",Coccidiosis
Buffalo,"Lameness, Reduced movement, Chest pain, Swollen joints, Recumbency, Grunting sound, High fever, Sudden fever",Black Quarter
Buffalo,"Chest pain, Swollen joints, Grunting sound",Black Quarter
Goat,"Sudden fever, Nasal bleeding, Sudden death, Depression, Rapid breathing, Foamy saliva",Anthrax
Buffalo,"Hoof lesions, Blisters in mouth, Lameness, Blisters on feet, Excess salivation",Foot and Mouth Disease
Goat,"Grunting sound, Sudden fever, Chest pain, Lameness, Swollen joints, Reduced movement",Black Quarter
Goat,"Dehydration, Nasal discharge, Bloody diarrhoea, Sudden death",Rinderpest
Buffalo,"Abortion, Reduced fertility, Stillbirth",Campylobacter Abortion
Buffalo,"Difficulty breathing, Nasal discharge, Sudden death, Rapid breathing, Depression, Swollen lymph nodes",East Coast Fever
Sheep,"Bloat, Sudden death, Abdominal pain",Enterotoxaemia
Sheep,"Diarrhoea, Dehydration, Lethargy, Loss of appetite",Calf Scour
Cow,"High fever, Cough, Diarrhoea, Dehydration, Loss of appetite, Difficulty breathing",Peste des Petits Ruminants
Buffalo,"Sudden death, Facial swelling, Rapid breathing, Jaw swelling, High fever",Haemorrhagic Septicaemia
Buffalo,"Diarrhoea, High fever, Dehydration, Cough, Nasal discharge, Loss of appetite",Peste des Petits Ruminants
Cow,"Weight loss, Dullness, Bloody diarrhoea",Coccidiosis
Cow,"Itching, Scratching, Skin lesions, Skin nodules, Weight loss",Mange
Buffalo,"Dehydration, Weight loss, Bloody diarrhoea, Diarrhoea, Loss of appetite, Weakness, Dullness, Depression",Coccidiosis
Buffalo,"Anaemia, Lethargy, Swollen lymph nodes",Theileriosis
Cow,"Loss of appetite, Diarrhoea, Difficulty breathing, Dehydration, Depression, Nasal discharge, High fever, Cough",Peste des Petits Ruminants
Buffalo,"Recumbency, Weakness, Reduced movement, Incoordination",Milk Fever
Cow,"Nasal discharge, Dehydration, Diarrhoea, Cough, Difficulty breathing, High fever",Peste des Petits Ruminants
Sheep,"Diarrhoea, Depression, Dehydration, Weight loss, Loss of appetite, Lethargy",Calf Scour
Cow,"Blisters in mouth, Fever, Excess salivation, Blisters on feet, Lameness, Hoof lesions, Drooling",Foot and Mouth Disease
Buffalo,"Weakness, Loss of appetite, Bloody diarrhoea, Dullness, Diarrhoea, Depression, Dehydration, Weight loss",Coccidiosis
Sheep,"Depression, Dehydration, Fever, Lethargy, Weakness, Weight loss, Diarrhoea",Calf Scour
Sheep,"Incoordination, Recumbency, Convulsions",Tetanus
Goat,"Loss of appetite, Weakness, Diarrhoea, Dehydration, Weight loss, Anaemia, Dullness",Amphistomiasis
Goat,"Recumbency, Lameness, Loss of appetite, Cracked hooves, Fever, Reduced movement, Hoof lesions",Foot Rot
Goat,"Pale mucous membranes, Dark urine, Yellow urine",Babesiosis
Cow,"Swollen lymph nodes, Reduced milk yield, High fever, Skin nodules, Lameness, Skin lesions, Eye discharge, Nasal discharge",Lumpy Skin Disease (Lumpy Virus)
Goat,"Stillbirth, Abortion, Fever, Weakness, Reduced fertility",Campylobacter Abortion
Cow,"Restlessness, Paralysis, Neurological signs, Difficulty breathing, Convulsions, Foamy saliva",Rabies
Cow,"Sudden death, Rapid breathing, Swollen lymph nodes",East Coast Fever
Buffalo,"Skin lesions, Skin nodules, Swollen lymph nodes, Nasal discharge, Fever, Eye discharge",Sheep and Goat Pox
Goat,"Hoof lesions, Lameness, Cracked hooves",Foot Rot
Buffalo,"Nasal discharge, High fever, Difficulty breathing, Sudden death, Facial swelling, Jaw swelling, Rapid breathing",Haemorrhagic Septicaemia
Sheep,"Swollen lymph nodes, Weight loss, Anaemia, High fever, Pale mucous membranes, Lethargy",Theileriosis
Cow,"Scratching, Skin lesions, Weight loss, Hair loss, Depression, Itching",Ringworm
Sheep,"Abortion, Stillbirth, Infertility, Fever",Brucellosis
Goat,"Bloody diarrhoea, Weight loss, Dullness",Coccidiosis
Buffalo,"Reduced movement, Recumbency, Incoordination",Milk Fever
Goat,"Incoordination, Recumbency, Reduced movement, Weakness",Milk Fever
Buffalo,"Depression, Stillbirth, Reduced fertility, Swollen joints, Fever, Infertility, Abortion",Brucellosis
Goat,"Lameness, Swollen joints, High fever, Sudden fever, Reduced movement",Bovine Ephemeral Fever
Sheep,"Bloody diarrhoea, Sudden death, Dehydration",Rinderpest
Cow,"Abnormal milk, Painful udder, Udder swelling, Depression, Reduced milk yield, Loss of appetite",Mastitis
Goat,"Skin nodules, Eye discharge, Nasal discharge, Skin lesions, Swollen lymph nodes, Reduced milk yield",Lumpy Skin Disease (Lumpy Virus)
Goat,"High fever, Diarrhoea, Nasal discharge, Sudden death, Loss of appetite, Bloody diarrhoea, Dehydration, Depression",Rinderpest
Goat,"Infertility, Stillbirth, Abortion",Brucellosis
Goat,"Reduced milk yield, Reduced movement, Swollen joints, Dullness, Depression, Sudden fever, High fever",Bovine Ephemeral Fever
Goat,"Dullness, Hair loss, Scratching, Itching, Skin lesions, Depression, Weight loss, Loss of appetite",Ringworm
Cow,"Depression, High fever, Dehydration, Sudden death, Weakness, Bloody diarrhoea",Salmonellosis
Cow,"Chest pain, Swollen joints, Grunting sound",Black Quarter
Goat,"Infertility, Abortion, Depression, Fever, Reduced fertility, Stillbirth, Swollen joints",Brucellosis
Goat,"Loss of appetite, Painful udder, Fever, Udder swelling, Abnormal milk",Mastitis
Goat,"Depression, Anaemia, Reduced milk yield, Loss of appetite, Dehydration, Weight loss, Pale mucous membranes, Weakness",Fascioliasis
Sheep,"Hair loss, Depression, Weight loss, Itching, Skin lesions",Ringworm
Cow,"Bloody diarrhoea, Depression, High fever, Sudden death, Loss of appetite, Diarrhoea, Weakness",Salmonellosis
Goat,"Dullness, Dehydration, Loss of appetite, Bloody diarrhoea, Weakness, Weight loss, Diarrhoea",Coccidiosis
Goat,"Rapid breathing, Depression, Jaw swelling, Facial swelling",Haemorrhagic Septicaemia
Buffalo,"Cracked hooves, Lameness, Hoof lesions",Foot Rot
Cow,"Fever, Depression, Skin lesions, Skin nodules, Eye discharge, Swollen lymph nodes",Sheep and Goat Pox
Cow,"Fever, Depression, Loss of appetite, Weakness, Diarrhoea, Dehydration, Weight loss, Lethargy",Calf Scour
Buffalo,"Skin nodules, Skin lesions, Swollen lymph nodes",Sheep and Goat Pox
Sheep,"Recumbency, Reduced movement, Chest pain, Grunting sound, Lameness, Sudden fever, Swollen joints",Black Quarter
Cow,"Weakness, Depression, Yellow urine, Pale mucous membranes, Anaemia, Lethargy, Fever",Anaplasmosis
Cow,"Sudden death, Nasal discharge, High fever, Depression, Dehydration, Bloody diarrhoea",Rinderpest
Cow,"Lameness, Swollen joints, Chest pain, Reduced movement, High fever, Grunting sound, Recumbency",Black Quarter
Goat,"Diarrhoea, Abdominal pain, Sudden death, Convulsions, Bloat",Enterotoxaemia
Cow,"Sudden death, Rapid breathing, Swollen lymph nodes, High fever, Nasal discharge, Weakness, Depression",East Coast Fever
Cow,"Eye discharge, Incoordination, Paralysis, Fever, Recumbency",Listeriosis
Cow,"Weakness, Lethargy, Pale mucous membranes, High fever, Anaemia, Yellow urine, Dark urine, Depression",Babesiosis
Goat,"Pale mucous membranes, Depression, Loss of appetite, Dehydration, Weakness, Anaemia, Weight loss, Reduced milk yield",Fascioliasis
Goat,"Abortion, Reduced fertility, Stillbirth",Campylobacter Abortion
Sheep,"High fever, Weakness, Sudden death, Depression, Foamy saliva, Nasal bleeding",Anthrax
Buffalo,"Stillbirth, Depression, Infertility, Abortion, Loss of appetite, Reduced fertility",Campylobacter Abortion
Buffalo,"Dehydration, Anaemia, Diarrhoea",Amphistomiasis
Cow,"Fever, Blisters in mouth, Hoof lesions, Lameness, Drooling, Reduced milk yield, Excess salivation, Blisters on feet",Foot and Mouth Disease
Cow,"Loss of appetite, Diarrhoea, High fever, Dehydration, Sudden death, Bloody diarrhoea, Weakness, Depression",Salmonellosis
Buffalo,"Fever, Sneezing, Difficulty breathing, Eye discharge, Cough, Depression, Nasal discharge",Bovine Rhinotracheitis
Sheep,"Drooling, Blisters on feet, Fever, Blisters in mouth, Hoof lesions, Lameness, Excess salivation, Reduced milk yield",Foot and Mouth Disease
Sheep,"Swollen lymph nodes, Depression, Rapid breathing, Sudden death",East Coast Fever
Sheep,"Anaemia, Weakness, Weight loss, Loss of appetite, Reduced milk yield, Dehydration",Fascioliasis
Cow,"Depression, Loss of appetite, Weight loss, Reduced milk yield, Anaemia, Weakness",Fascioliasis
Sheep,"Loss of appetite, Dehydration, Depression, Diarrhoea, High fever, Bloody diarrhoea, Weakness, Sudden death",Salmonellosis
Sheep,"Reduced movement, Incoordination, Recumbency",Milk Fever
Cow,"Skin nodules, Itching, Scratching",Mange
Goat,"Facial swelling, Jaw swelling, Difficulty breathing, Lameness, High fever",Blue Tongue
Sheep,"Lethargy, Diarrhoea, Dehydration",Calf Scour
Buffalo,"Diarrhoea, Bloody diarrhoea, Loss of appetite, Dehydration, Weakness, Depression, High fever, Sudden death",Salmonellosis
Sheep,"Skin lesions, Depression, Itching, Weight loss, Dullness, Hair loss",Ringworm
Cow,"Anaemia, Lethargy, Swollen lymph nodes",Theileriosis
Sheep,"Anaemia, Weight loss, Reduced milk yield",Fascioliasis
Goat,"Depression, Skin lesions, Swollen lymph nodes, Nasal discharge, Skin nodules, Loss of appetite",Sheep and Goat Pox
Cow,"Pale mucous membranes, Weakness, Anaemia, Yellow urine, Fever",Anaplasmosis
Goat,"Scratching, Skin nodules, Hair loss, Dullness, Weight loss, Itching",Mange
Buffalo,"Scratching, Dullness, Skin nodules, Weight loss, Hair loss, Itching, Skin lesions, Restlessness",Mange
Buffalo,"Anaemia, Pale mucous membranes, Weight loss, Reduced milk yield, Dehydration, Depression",Fascioliasis
Goat,"Nasal discharge, Depression, Eye discharge, Skin nodules, Skin lesions, Fever, Swollen lymph nodes",Sheep and Goat Pox
Cow,"Paralysis, Fever, Loss of appetite, Incoordination, Neurological signs, Eye discharge",Listeriosis
Sheep,"Hair loss, Scratching, Weight loss, Skin lesions, Itching, Dullness, Depression",Ringworm
Cow,"Rapid breathing, Jaw swelling, Nasal discharge, Depression, Sudden death, Facial swelling, High fever",Haemorrhagic Septicaemia
Goat,"Diarrhoea, Weakness, Loss of appetite, Weight loss, Bloody diarrhoea, Dullness, Depression",Coccidiosis
Buffalo,"Abnormal milk, Painful udder, Udder swelling",Mastitis
Cow,"Eye discharge, Skin nodules, Fever, Swollen lymph nodes, Skin lesions",Sheep and Goat Pox
Buffalo,"Anaemia, Weight loss, Swollen lymph nodes, Lethargy",Theileriosis
Goat,"Reduced movement, Cracked hooves, Fever, Swollen joints, Hoof lesions, Lameness, Loss of appetite",Foot Rot
Cow,"Hair loss, Scratching, Itching, Skin lesions",Ringworm
Buffalo,"Nasal discharge, Swollen lymph nodes, Reduced milk yield, Eye discharge, Skin lesions, Skin nodules, Lameness",Lumpy Skin Disease (Lumpy Virus)
Sheep,"Skin nodules, Nasal discharge, Swollen lymph nodes, Reduced milk yield",Lumpy Skin Disease (Lumpy Virus)
Goat,"Stillbirth, Abortion, Infertility",Brucellosis
Goat,"Itching, Scratching, Hair loss, Skin lesions, Dullness",Ringworm
Buffalo,"Reduced milk yield, Sudden fever, Swollen joints, High fever, Reduced movement, Dullness, Depression",Bovine Ephemeral Fever
Sheep,"Weakness, Dullness, Incoordination, Recumbency, Reduced movement, Depression, Loss of appetite",Milk Fever
Cow,"Weight loss, Lethargy, Yellow urine, Anaemia, Pale mucous membranes",Anaplasmosis
Buffalo,"Dehydration, Loss of appetite, Weight loss, Diarrhoea, Lethargy, Fever",Calf Scour
Goat,"Blisters in mouth, Fever, Hoof lesions, Drooling, Reduced milk yield, Excess salivation, Lameness, Blisters on feet",Foot and Mouth Disease
Sheep,"Anaemia, Yellow urine, Pale mucous membranes, Fever",Anaplasmosis
Goat,"Sudden death, Bloody diarrhoea, Dehydration",Rinderpest
Cow,"Abnormal milk, Painful udder, Loss of appetite, Weakness, Udder swelling",Mastitis
Sheep,"Cough, Eye discharge, Sneezing",Bovine Rhinotracheitis
Cow,"Pale mucous membranes, Dark urine, High fever, Yellow urine",Babesiosis
Buffalo,"Reduced milk yield, Swollen lymph nodes, Eye discharge, Skin lesions, Lameness, Nasal discharge, High fever, Skin nodules",Lumpy Skin Disease (Lumpy Virus)
Cow,"Depression, Weakness, Dullness, Diarrhoea, Loss of appetite, Anaemia, Weight loss, Dehydration",Amphistomiasis
Sheep,"Sudden death, Bloat, Abdominal pain, Diarrhoea",Enterotoxaemia
Buffalo,"Weakness, Foamy saliva, Depression, Sudden death, Rapid breathing, Sudden fever, Nasal bleeding",Anthrax
Sheep,"Infertility, Reduced fertility, Stillbirth, Abortion",Campylobacter Abortion
Cow,"Skin nodules, Swollen lymph nodes, Nasal discharge, Skin lesions",Sheep and Goat Pox
Sheep,"Loss of appetite, Dehydration, Diarrhoea, High fever, Cough",Peste des Petits Ruminants
Sheep,"Yellow urine, Pale mucous membranes, Anaemia",Anaplasmosis
Cow,"Sudden death, Swollen lymph nodes, Rapid breathing",East Coast Fever
Sheep,"Convulsions, Restlessness, Neurological signs, Paralysis",Rabies
Cow,"Depression, Sudden death, Swollen lymph nodes, Nasal discharge, High fever, Rapid breathing",East Coast Fever
Buffalo,"Weakness, Weight loss, Diarrhoea, Dullness, Loss of appetite, Dehydration, Depression, Anaemia",Amphistomiasis
Sheep,"Dullness, Swollen joints, Reduced milk yield, Reduced movement, Depression, Sudden fever",Bovine Ephemeral Fever
Buffalo,"Depression, Swollen lymph nodes, Sudden death, Rapid breathing",East Coast Fever
Goat,"Paralysis, Neurological signs, Convulsions",Rabies
Cow,"Jaw swelling, Facial swelling, Lameness",Blue Tongue
Cow,"Skin lesions, Itching, Hair loss, Loss of appetite",Ringworm
Cow,"Dehydration, Diarrhoea, Lethargy",Calf Scour
Buffalo,"Anaemia, Depression, Pale mucous membranes, Loss of appetite, Reduced milk yield, Weight loss, Weakness",Fascioliasis
Buffalo,"Skin lesions, Skin nodules, Scratching, Itching, Dullness",Mange
Cow,"Grunting sound, Reduced movement, Sudden fever, High fever, Swollen joints, Chest pain, Recumbency, Lameness",Black Quarter
Buffalo,"Swollen lymph nodes, Depression, Loss of appetite, Skin lesions, Fever, Nasal discharge, Eye discharge, Skin nodules",Sheep and Goat Pox
Goat,"Bloody diarrhoea, Dehydration, Depression, Sudden death",Rinderpest
Cow,"Dullness, Weight loss, Bloody diarrhoea, Loss of appetite",Coccidiosis
Buffalo,"Infertility, Abortion, Stillbirth",Brucellosis
Cow,"Loss of appetite, Weight loss, Diarrhoea, Dullness, Weakness, Reduced milk yield, Depression",Johne’s Disease
Goat,"Eye discharge, Depression, Fever, Nasal discharge, Difficulty breathing, Sneezing, Cough, Rapid breathing",Bovine Rhinotracheitis
Sheep,"Anaemia, Depression, Yellow urine, Fever, Weight loss, Lethargy, Pale mucous membranes",Anaplasmosis
Cow,"Neurological signs, Convulsions, Foamy saliva, Restlessness, Difficulty breathing, Paralysis, Incoordination, Sudden death",Rabies
Sheep,"Painful udder, Loss of appetite, Abnormal milk, Udder swelling",Mastitis
Goat,"Pale mucous membranes, Anaemia, Yellow urine",Anaplasmosis
Buffalo,"Incoordination, Neurological signs, Convulsions, Paralysis",Rabies
Cow,"Sneezing, Fever, Nasal discharge, Cough, Eye discharge",Bovine Rhinotracheitis
Buffalo,"Sudden death, Depression, Jaw swelling, Rapid breathing, Facial swelling, Nasal discharge, High fever, Difficulty breathing",Haemorrhagic Septicaemia
Goat,"Lameness, Cracked hooves, Reduced movement, Hoof lesions",Foot Rot
Sheep,"Nasal discharge, Difficulty breathing, Sneezing, Eye discharge, Cough",Bovine Rhinotracheitis
Buffalo,"Diarrhoea, Reduced milk yield, Weight loss",Johne’s Disease
Cow,"Painful udder, Abnormal milk, Udder swelling, Depression",Mastitis
Cow,"Dehydration, Bloody diarrhoea, Abdominal pain, Sudden death, Bloat, Depression",Enterotoxaemia
Cow,"Incoordination, Restlessness, Reduced movement, Recumbency, Convulsions, Neurological signs",Tetanus
Goat,"Sneezing, Cough, Eye discharge",Bovine Rhinotracheitis
Goat,"Infertility, Depression, Abortion, Stillbirth",Brucellosis
Cow,"High fever, Bloody diarrhoea, Sudden death",Salmonellosis
Cow,"Neurological signs, Convulsions, Incoordination, Paralysis",Rabies
Buffalo,"Depression, Skin lesions, Itching, Scratching, Hair loss",Ringworm
Goat,"Foamy saliva, Weakness, Sudden death, Depression, Nasal bleeding",Anthrax
Sheep,"High fever, Dehydration, Sudden death, Loss of appetite, Bloody diarrhoea",Rinderpest
Sheep,"Eye discharge, Paralysis, Neurological signs, Recumbency, Incoordination, Loss of appetite, Depression",Listeriosis
Buffalo,"Depression, Nasal bleeding, Rapid breathing, Foamy saliva, Sudden death",Anthrax
Cow,"Excess salivation, Lameness, Hoof lesions, Reduced milk yield, Blisters on feet, Blisters in mouth",Foot and Mouth Disease
Sheep,"Reduced movement, Hoof lesions, Fever, Loss of appetite, Lameness, Cracked hooves",Foot Rot
Buffalo,"Stillbirth, Infertility, Abortion",Brucellosis
Buffalo,"Rapid breathing, Sudden death, Swollen lymph nodes",East Coast Fever
Goat,"Swollen joints, Sudden fever, Chest pain, Grunting sound",Black Quarter
Cow,"Weight loss, Pale mucous membranes, Yellow urine, Fever, Anaemia",Anaplasmosis
Buffalo,"Depression, Eye discharge, Cough, Sneezing",Bovine Rhinotracheitis
Buffalo,"Reduced milk yield, Skin nodules, Swollen lymph nodes",Lumpy Skin Disease (Lumpy Virus)
Goat,"High fever, Eye discharge, Swollen lymph nodes, Skin nodules, Lameness, Skin lesions, Reduced milk yield",Lumpy Skin Disease (Lumpy Virus)
Buffalo,"Weakness, Reduced fertility, Stillbirth, Depression, Abortion, Fever",Campylobacter Abortion
Goat,"Difficulty breathing, Foamy saliva, Convulsions, Paralysis, Restlessness, Neurological signs, Incoordination",Rabies
Cow,"Jaw swelling, Facial swelling, Depression, Rapid breathing, High fever, Lameness, Nasal discharge",Blue Tongue
Buffalo,"Lameness, Jaw swelling, Facial swelling",Blue Tongue
Buffalo,"Bloody diarrhoea, Sudden death, Depression, Bloat, Diarrhoea, Abdominal pain, Dehydration, Convulsions",Enterotoxaemia
Sheep,"Rapid breathing, High fever, Jaw swelling, Difficulty breathing, Facial swelling, Depression, Sudden death, Nasal discharge",Haemorrhagic Septicaemia
Sheep,"Jaw swelling, Rapid breathing, Facial swelling",Haemorrhagic Septicaemia
Goat,"Fever, Recumbency, Eye discharge, Loss of appetite, Paralysis, Incoordination",Listeriosis
Sheep,"Nasal discharge, Depression, Skin nodules, Skin lesions, Swollen lymph nodes",Sheep and Goat Pox
Sheep,"Weakness, Sudden death, Swollen lymph nodes, High fever, Rapid breathing",East Coast Fever
Cow,"Dehydration, Depression, Loss of appetite, Weight loss, Diarrhoea, Lethargy, Fever, Weakness",Calf Scour
Sheep,"Neurological signs, Recumbency, Rapid breathing, Reduced movement, Incoordination, Restlessness, Convulsions, Difficulty breathing",Tetanus
Goat,"Hoof lesions, Cracked hooves, Lameness",Foot Rot
Goat,"Recumbency, Chest pain, Lameness, Grunting sound, Swollen joints, High fever, Sudden fever, Reduced movement",Black Quarter
Cow,"Loss of appetite, Eye discharge, Fever, Skin lesions, Swollen lymph nodes, Nasal discharge, Skin nodules, Depression",Sheep and Goat Pox
Goat,"Reduced milk yield, Swollen lymph nodes, Nasal discharge, Skin nodules, Lameness, Skin lesions, Eye discharge",Lumpy Skin Disease (Lumpy Virus)
Buffalo,"Abortion, Reduced fertility, Loss of appetite, Stillbirth, Fever, Infertility",Campylobacter Abortion
Sheep,"Grunting sound, Swollen joints, Chest pain",Black Quarter
Goat,"Dark urine, Lethargy, Weakness, Yellow urine, Pale mucous membranes, Depression, High fever, Anaemia",Babesiosis
Goat,"Convulsions, Restlessness, Incoordination, Neurological signs, Paralysis, Difficulty breathing",Rabies
Buffalo,"Diarrhoea, Dehydration, Dullness, Anaemia, Weight loss, Loss of appetite, Depression, Weakness",Amphistomiasis
Goat,"Skin nodules, Scratching, Restlessness, Itching, Dullness",Mange
Sheep,"Dullness, Recumbency, Incoordination, Weakness, Reduced movement, Loss of appetite, Depression",Milk Fever
Buffalo,"Anaemia, Yellow urine, Pale mucous membranes",Anaplasmosis
Sheep,"Fever, Diarrhoea, Depression, Weight loss, Dehydration, Lethargy, Loss of appetite, Weakness",Calf Scour
Cow,"Difficulty breathing, Jaw swelling, Facial swelling, Lameness",Blue Tongue
Cow,"Rapid breathing, Sudden death, Weakness, Swollen lymph nodes",East Coast Fever
Buffalo,"Cracked hooves, Recumbency, Lameness, Fever, Hoof lesions",Foot Rot
Buffalo,"Paralysis, Sudden death, Convulsions, Incoordination, Difficulty breathing, Neurological signs, Foamy saliva",Rabies
Buffalo,"Reduced milk yield, Weakness, Diarrhoea, Weight loss",Johne’s Disease
Buffalo,"Excess salivation, Fever, Hoof lesions, Lameness, Blisters in mouth, Blisters on feet",Foot and Mouth Disease
Goat,"Jaw swelling, Lameness, Facial swelling",Blue Tongue
Cow,"Jaw swelling, Facial swelling, Rapid breathing, Depression",Haemorrhagic Septicaemia
Goat,"Bloody diarrhoea, Weakness, Loss of appetite, Sudden death, High fever, Dehydration",Salmonellosis
